Injection[A],ER[dB],Q
0.5,-3.150,1.7669
0.6,-2.627,1.8667
0.7,-0.311,2.1409
0.8,0.39702,2.22487
0.9,1.7837,2.56
1.0,2.5039,2.26172
1.1,3.742,2.9707
1.2,3.8356,2.8581
1.3,4.1772,3.0709
1.4,4.6953,3.1894
1.5,5.026,3.2615
1.6,5.7362,3.608
1.7,5.7193,3.6638
1.8,6.301,3.9385
1.9,6.5574,4.0949
2.0,6.496,4.2453
2.1,6.4285,4.4254
2.2,6.8215,4.5075
2.3,6.8931,4.7726
2.4,7.0761,4.7201
2.5,7.148,4.8791
2.6,7.253,5.0405
2.7,7.1668,5.1581
2.8,7.5627,5.6288
2.9,7.6127,5.7184
3.0,7.5287,5.6349
3.1,7.7859,6.0273
3.2,7.6947,5.9901
3.3,7.8914,6.4038
3.4,7.8352,6.2934
3.5,8.1075,6.8644
3.6,8.0917,6.9835